description,text,rating
"Production Technician (Current Employee) - Tipton, IN - December 27, 2022",If you work hard and show up then you will thrive. Schedule can be rough but they tell you that from the beginning. They need to come up with standardized pay/raises. Doesn’t seem to fair that employees that have been there for years are making less then someone that walks in off the street. Not a bad job. Pto is a plus.,4.0
"Forklift Operator/Warehouse (Current Employee) - Kampton pack - December 13, 2022",I enjoy working at the company as i was gaining lot of experience and help than doing production and getting more customs and they also get more profit,4.0
"Data analyst (Former Employee) - Johnston, IA - December 13, 2022",It was a good place to work while I was there. I was able to gain exposure to a lot of experience and life lessons. Working for a big company has helped me.,2.0
"Student Research Assistant (Former Employee) - Lethbridge, AB - December 8, 2022","While I worked here I found management very understanding, they did their best to provide me with the tools to succeed and I was able to gain experience which I will continue to use for the rest of my career. At the time of my employment there was no opportunity for advancement otherwise I never would have left. I was originally hire as a summer research student for one season but ended up staying for four years. During this time I fell chronically ill. I was never blamed or yelled at and felt very supported. I felt that any action taken to reduce my pay was fair given my illness at the time. In the instance of disagreements between staff members management was quick to intervene in a productive and positive way. I would work here again.",4.0
"Production Worker (Former Employee) - Durant, IA - December 2, 2022","Durant Iowa
If your someone with a high work ethic stay away! This place was full of people who didn't like seeing others succeed. The management team was hardly on the shop floor and would listen to the opinions of people who did not have your best interest in their thoughts. The people who are there currently sit back and let things hit the wall. If you are of a minority background it's 10x worse. I have seen them (Full timers) make the hispanic members broom and clean everything while they sit around and do nothing.",2.0
"Agile Scrum Master (Current Employee) - Des Moines, IA - November 22, 2022",Corteva is in the process of transforming their IT department. Lots of changes in both processes and team structure. Currently in the process of transitioning to SAFe.,3.0
"Territory Sales Manager (Current Employee) - Sahiwal - October 28, 2022","workig at Corteva Agriscience has always been fun. New challenges, brainstorming to cope up with these challenges, encouraging people to come up with new ideas to serve the customer in a better way, keeping end user at the core.",5.0
"Field and Sales Agronomist (Current Employee) - Kwara state - October 26, 2022","Corteva Agriscience has helped me become knowledgeable in the field of agriculture. My job role has made me known places and I meet big shuts in the agricultural sector on daily bases.
It’s a good place to be for development and growth.",4.0
"Agricultural Technician (Former Employee) - Salinas Municipio, PR - October 17, 2022","What is the best part of working at the company?
Fast hiring

What is the most stressful part about working at the company?
Unrealistic work expectations, questionable safety regulations

What is the work environment and culture like at the company?
Most people working there just need money not many are in it for the company or its values

What is a typical day like for you at the company?
Clock in at 5 am, stand in a room sorting and sampling seeds or cutting leaves in a greenroom. One unpaid 1 hour break, no cafeteria. Work ends at about 2-3 pm",1.0
"Project Manager (Current Employee) - Iowa - October 13, 2022","Lots of changes and role clarity needed but the people are great, very good personal development and learning opportunities
Flexible hours, WFH Mondays and Fridays",4.0
