description,text,rating
"Audit Manager (Former Employee) - Audit Manager - December 7, 2022","The work day is a busy one starting at 8.00 Am with a lunch break , and ending at 5.00 Pm for a normal regulated working hours.

However due to the nature of work you find yourself putting in extra hours so as to be able to meet strict deadlines.
I learned a lot of policies and procedures for auditing and consultancy work as the local office has to adapt to the standard operating procedures of Grant Thornton International .
The most challenging part of the work here is the fact that the accounting and book keeping regimes at the clients places is never that of computerized records and even where records are computerized there will be some problems of incomplete records.

The most enjoyable part of the work here is working with the computer, through the computer and with the computerized auditing and accounting packages",3.0
"State and Local Public Sector (Current Employee) - Austin, TX - December 27, 2022",Workplace does not invest in employees. Needs management improvement. Benefits are okay. Limited learning opportunities. Wished I had leaned in a different direction instead of staying loyal to the company for so many years.,2.0
"Accountant (Current Employee) - Charlottetown, PE - December 24, 2022",I love the people and culture. There are lots of opportunities to get involved. Their are great benefits although the salary isn’t the best and no RRSP matching.,4.0
"Audit Associate (Current Employee) - johor - December 7, 2022","the pantry is nice, the best pantry I ever had in an office. New joiner here so I wish I can enjoy in this career. Colleagues are busy with their things",5.0
"Management Trainee (Current Employee) - Dhaka, Bangladesh - December 3, 2022",The salary is mediocore as well as the benefits. Work Environment is not good as there’s always noise and distractions in the office. The people in my team are good but not so sure about the people in other teams.,3.0
"CA Article Trainee (Current Employee) - Pune, Maharashtra - November 23, 2022",You will be able to learn more while connecting to this organisation. You will be dealing with working culture of some top Listed and Private Entity. Your career growth will definitely shoot up .,5.0
"Tax Associate (Former Employee) - Charlotte, NC - November 19, 2022","Worked there during Covid, worked with great people. Everyone was very open to help. But felt very tired of the constant busy season and lack of staff on engagements. Wish they would ask for employee feedbacks and actually listen to them.",3.0
"Manager (Current Employee) - Dallas - November 16, 2022","The culture at GT is second to none. If you get your work done and engage with the team, management will give you as many opportunities as you ask for. The flexibility is also really great.",5.0
"Operations Manager (Current Employee) - Uk - November 11, 2022",A company that protects bullies as they are too hard to manage and the good staff get no support. HR where more than disastrous especially those from the Glasgow office.,1.0
"Manager (Current Employee) - Ireland - November 11, 2022",Not do much pressure at work. Management is considerate. Agreement is set so you can manage your expectations in the coming weeks. Has gym. Payday breakfast. Friendly colleagues.,4.0
"Assistant Estate Administrator (Former Employee) - Edmonton, AB - November 3, 2022","I do not recommend working here. There is no support or guidance from management. When a mistake is made, it is not constructive criticism given but rather punishment and consequences. The pay is horrible for a large company and benefits are minimal.",2.0
"Audit Associate (Current Employee) - Downtown Core - November 3, 2022","The senior are friendly & kind.
Partner willing to teach.
Salary is higher than market price
Got provide a lot activities for the employees
Able learn a lot audit skill",5.0
"CSR - Customer Service Representative (Former Employee) - Tampa, FL - October 25, 2022",Crear complaint fo work for loveleu staff and great environment. Stayed May tbe ugh August had to leave for family reasons but great great great job so yw,5.0
"Auditor (Current Employee) - lugogo one kampala,uganda - October 21, 2022","What is the best part of working at the company?
Friendly training

What is the most stressful part about working at the company?
Sometimes there's no work and one tends to be idle hence being idle

What is the work environment and culture like at the company?
Favorable to all groups of people.

What is a typical day like for you at the company?
On my average day of work, I start the day off by checking my emails. This way, I can reply to clients and get everything organized at the start of the day. I then look over my to-do list and get started on the projects that have my top priority.",4.0
